,overall,value_eur,age,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
0,93,78000000.0,34,4,4,85.0,92.0,91.0,95.0,34.0,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,20,35,24,6,11,15,14,8
1,92,119500000.0,32,4,4,78.0,92.0,79.0,86.0,44.0,71,95,90,85,89,85,79,85,70,88,77,79,77,93,82,90,85,76,86,87,81,49,95,81,90,88,35,42,19,15,6,12,8,10
2,91,45000000.0,36,4,5,87.0,94.0,80.0,88.0,34.0,87,95,90,80,86,88,81,84,77,88,85,88,86,94,74,94,95,77,77,93,63,29,95,76,88,95,24,32,24,7,11,15,14,11
3,91,129000000.0,29,5,5,91.0,83.0,86.0,94.0,37.0,85,83,63,86,86,95,88,87,81,95,93,89,96,89,84,80,64,81,53,81,63,37,86,90,93,93,35,32,29,9,9,15,15,11
4,91,125500000.0,30,5,4,76.0,86.0,93.0,88.0,64.0,94,82,55,94,82,88,85,83,93,91,76,76,79,91,78,91,63,89,74,91,76,66,88,94,83,89,68,65,53,15,13,5,10,13
5,91,112000000.0,28,3,1,69.0,54.0,58.0,64.0,56.0,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,87,92,78,90,90
6,91,194000000.0,22,4,5,97.0,88.0,80.0,92.0,36.0,78,93,72,85,83,93,80,69,71,91,97,97,92,93,83,86,78,88,77,82,62,38,92,82,79,88,26,34,32,13,5,7,11,6
7,90,13500000.0,35,4,1,69.0,54.0,58.0,64.0,56.0,15,13,25,60,11,30,14,11,68,46,54,60,51,87,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,88,88,91,89,88
8,90,99000000.0,29,4,1,69.0,54.0,58.0,64.0,56.0,18,14,11,61,14,21,18,12,63,30,38,50,39,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,88,85,88,88,90
9,90,129500000.0,27,5,3,70.0,91.0,83.0,83.0,47.0,80,94,86,85,88,83,83,65,86,85,65,74,71,92,70,91,79,83,85,86,80,44,94,87,91,91,50,36,38,8,10,11,14,11
10,90,100000000.0,30,3,2,78.0,66.0,75.0,82.0,87.0,68,65,54,82,56,79,49,49,79,81,82,75,82,93,92,71,77,97,72,65,93,91,72,78,54,84,90,93,86,15,12,10,7,10
11,89,66000000.0,33,4,4,76.0,86.0,81.0,87.0,39.0,75,90,89,86,86,87,81,73,73,90,77,75,79,91,72,85,79,78,82,79,63,39,90,87,84,90,43,24,18,13,11,5,5,7
12,89,85500000.0,29,3,1,69.0,54.0,58.0,64.0,56.0,14,14,13,33,12,13,19,20,35,23,42,52,62,84,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,84,89,74,86,88
13,89,104000000.0,28,5,4,88.0,87.0,82.0,86.0,43.0,83,88,68,84,78,87,85,74,74,84,85,90,86,91,78,88,60,88,64,89,62,39,91,83,73,89,50,34,33,11,13,13,6,10
14,89,88000000.0,29,3,2,65.0,73.0,76.0,73.0,86.0,58,64,79,84,62,69,62,74,84,79,60,69,61,87,66,88,87,89,90,81,91,87,75,80,66,84,85,88,87,13,14,16,12,12
15,89,86000000.0,29,3,2,78.0,60.0,71.0,72.0,91.0,53,52,87,79,45,70,60,70,86,76,66,88,61,87,53,81,90,69,92,64,83,90,47,65,62,90,92,92,86,13,10,13,11,11
16,89,101000000.0,29,4,4,91.0,83.0,80.0,89.0,44.0,78,86,84,84,75,90,77,64,71,88,93,90,93,91,88,83,87,85,72,80,75,35,90,84,71,84,42,42,38,10,10,15,7,14
17,89,101000000.0,29,3,4,90.0,87.0,81.0,90.0,45.0,79,91,59,84,81,90,83,69,75,89,89,91,91,92,91,82,69,85,75,84,63,55,91,83,86,90,38,43,41,14,14,9,11,14
18,89,94000000.0,27,3,1,69.0,54.0,58.0,64.0,56.0,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70,29,15,8,87,82,93,88,88
19,89,108000000.0,26,4,3,70.0,73.0,86.0,84.0,83.0,91,68,72,87,69,83,85,61,90,85,77,65,84,88,84,78,79,94,68,84,89,84,80,85,44,85,85,85,79,8,15,7,15,15
20,89,82000000.0,28,3,1,69.0,54.0,58.0,64.0,56.0,17,13,29,45,20,27,19,18,44,30,56,47,40,87,37,63,52,32,78,14,27,11,13,66,23,65,15,19,16,86,86,84,90,89
